Brand,Model,Year,EngineSize,Mileage,Transmission,FuelType,Price
Vauxhall, Antara,2014.0,2.2,39003,Manual,Diesel,6490
Ford, Focus,2018.0,1.0,9987,Manual,Petrol,15950
Vauxhall, Viva,2016.0,1.0,30739,Manual,Petrol,5998
Vauxhall, Zafira,2017.0,1.6,33123,Manual,Diesel,11998
Mercedes, A Class,2015.0,2.0,33112,Automatic,Petrol,21745
Ford, Fiesta,2018.0,1.0,6500,Manual,Petrol,10121
Ford, EcoSport,2019.0,1.0,1156,Semi-Auto,Petrol,17990
Toyota, Aygo,2019.0,1.0,11805,Manual,Petrol,8500
Toyota, Aygo,2019.0,1.0,6482,Manual,Petrol,9999
Toyota, Corolla,2019.0,1.8,7500,Automatic,Hybrid,24995
Audi,Q2,2019.0,1.5,12647,Semi-Auto,Petrol,24080
Skoda, Superb,2019.0,2.0,10,Automatic,Petrol,27990
BMW,X3,2016.0,2.0,63589,Semi-Auto,Diesel,16998
Ford, Focus,2018.0,1.5,30953,Manual,Petrol,11999
BMW,3 Series,2017.0,2.0,78345,Automatic,Diesel,10900
Volkswagen, Golf,2017.0,1.4,17042,Manual,Petrol,13880
Mercedes, GLA Class,2019.0,2.1,2001,Semi-Auto,Diesel,24999
Skoda, Octavia,2016.0,2.0,46557,Manual,Diesel,12387
Toyota, Aygo,2008.0,1.0,99000,Manual,Petrol,2495
Volkswagen, Polo,2017.0,1.2,21576,Semi-Auto,Petrol,12990
Skoda, Fabia,2019.0,1.0,8011,Manual,Petrol,12713
Vauxhall, Insignia,2017.0,2.0,47100,Manual,Diesel,12422
Skoda, Kamiq,2019.0,1.5,1000,Automatic,Petrol,21995
BMW,5 Series,2013.0,3.0,57604,Automatic,Diesel,12950
Mercedes, GLA Class,2015.0,2.1,42740,Automatic,Diesel,17899
Ford, Mondeo,2017.0,2.0,73614,Manual,Diesel,9550
Vauxhall, Mokka X,2019.0,1.4,8632,Manual,Petrol,14500
Ford, Fiesta,2017.0,1.0,14858,Manual,Petrol,10000
Volkswagen, Golf,2014.0,2.0,35419,Manual,Diesel,13170
Ford, Fiesta,2016.0,1.5,30209,Manual,Diesel,8999
Volkswagen, Golf,2017.0,1.4,25000,Manual,Petrol,12950
Volkswagen, Polo,2016.0,1.2,7124,Manual,Petrol,9995
Toyota, Corolla,2019.0,1.8,6513,Automatic,Hybrid,23498
Audi,Q2,2019.0,1.6,6274,Manual,Diesel,18551
Mercedes, A Class,2017.0,1.6,4597,Semi-Auto,Petrol,20392
Vauxhall, Corsa,2020.0,1.2,398,Manual,Petrol,16998
Vauxhall, Corsa,2019.0,1.4,5124,Manual,Petrol,10990
Vauxhall, Corsa,2018.0,0.0,15060,Automatic,Petrol,11000
Volkswagen, Polo,2019.0,1.0,5852,Manual,Petrol,12366
Volkswagen, Golf,2016.0,2.0,39039,Manual,Diesel,15990
Skoda, Superb,2019.0,2.0,2085,Automatic,Petrol,26295
Toyota, Prius,2017.0,1.8,30687,Automatic,Hybrid,20100
Vauxhall, Mokka X,2017.0,1.4,30748,Manual,Petrol,9500
Ford, Fiesta,2015.0,1.2,18380,Manual,Petrol,7759
Vauxhall, Adam,2019.0,1.2,2508,Manual,Petrol,9990
Mercedes, CL Class,2014.0,1.8,28612,Manual,Diesel,15250
Audi,A1,2019.0,2.0,11750,Semi-Auto,Petrol,21500
